Frames Analyzed,Elapsed Time (s),FPS
69,5.045653362,13.675142830757645
77,10.134788116,15.229822282594592
76,15.159475142,15.126412604422452
76,20.180158,15.13831051570946
76,25.204767354,15.12651397924711
76,30.225489139,15.138365627905815
76,35.25013974,15.126359915460215
76,40.270871742,15.138218058867974
76,45.295527421,15.126821598378573
76,50.316310932,15.138003608091372
76,55.340838647,15.12671589297161
76,60.361607443,15.138226721937416
76,65.386258487,15.126340183913149
76,70.410823976,15.126953978351935
76,75.431538715,15.13948337910582
76,80.456175169,15.126431219209561
76,85.476880586,15.138145501150747
76,90.501506153,15.126529785316022
76,95.522285654,15.13792926741799
76,100.546884001,15.126413146337004
76,105.567591587,15.138324962381422
76,110.59227714,15.126165266631533
76,115.61300996,15.138126136864061
76,120.63760998,15.126580440226096
76,125.658441109,15.137778064570506
76,130.683114911,15.126310138110329
76,135.703702688,15.138511122172494
76,140.728360387,15.126246945974668
76,145.749109237,15.13802347561298
76,150.773643338,15.127130949258445
76,155.794436727,15.137893142124607
76,160.81899175,15.126674320552896
76,165.839896814,15.13777128045867
76,170.86439419,15.127398877909066
76,175.889006534,15.126399887505443
76,180.909734927,15.138256748761641
76,185.934716415,15.12526007013993
76,190.955140377,15.139084188718881
76,195.979773373,15.126311005161883
76,201.000517849,15.138626331492334
76,206.025222134,15.126121252696416
76,211.045852394,15.138380222437663
76,216.070521345,15.126763520286904
76,221.091240209,15.139361199303574
76,226.115803574,15.126749562342333
76,231.13651268,15.13828743606991
76,236.161215003,15.126087074336477
76,241.181884802,15.138237658586755
76,246.206568833,15.126312962049438
76,251.227328334,15.138027036635798
76,256.25193221,15.126389976513922
76,261.272697088,15.138135957705229
76,266.297347151,15.126250089010767
76,271.318236858,15.13758078508092
76,276.34268836,15.126843547135866
76,281.367379806,15.126132918471644
76,286.388114503,15.138051185902471
76,291.412683967,15.126492856369252
76,296.433464083,15.138645066817608
76,301.457996556,15.126601382705875
