time,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp,Frame
0,1302,1724,1783,1331,1482,0.010257173,0.6520379,0.6493438,4006,1014,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
0,1267,1750,1853,1341,1459,0.011191839,0.6527475,0.6354065,4058,1013,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.734314,36.53,0
0,1254,1770,1880,1343,1440,0.011784445,0.65318453,0.62751746,4089,1014,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.812439,36.53,0
0,263,407,308,262,297,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,264,408,309,262,298,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,264,408,309,262,297,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,265,407,309,261,296,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,264,408,310,261,297,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,264,407,309,262,297,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,265,408,309,262,297,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,263,408,309,263,298,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
0,264,408,309,262,297,0.01215592,0.6534965,0.6219951,14,1014,-109.32061,0.24427481,15.687023,-0.4989624,0.001953125,-1.906189,36.53,0
