Frames Analyzed,Elapsed Time (s),FPS
134,5.0446755,26.56266155648633
152,10.0848012,30.15834480210213
151,15.0865377,30.189804902884294
150,20.1176116,29.815037643572076
151,25.1204538,30.183366550361427
150,30.1683941,29.715402515333544
152,35.2039876,30.18547065265277
150,40.2104851,29.961730480891365
151,45.2376564,30.037168509509947
150,50.2392749,29.990792826602235
151,55.2681011,30.02717379686434
150,60.2702724,29.987275799132913
150,65.3220221,29.692938787551398
152,70.3566161,30.191466334369856
150,75.3575299,29.99507360911044
151,80.3893779,30.009833685899192
151,85.3924744,30.181578371824976
150,90.4223004,29.822353607583278
151,95.4256002,30.180367670830123
150,100.468451,29.745366574163867
152,105.509013,30.155630830005965
151,110.5637868,29.873044900709814
152,115.6198967,30.06293378514231
151,120.6618221,29.949159615672553
152,125.7171441,30.067578861621683
151,130.756797,29.962638375797997
152,135.8129279,30.06283092106145
151,140.8675973,29.873613446402256
152,145.908124,30.15602628803977
151,150.9645366,29.86338529634891
152,156.0188926,30.211386687543264
151,161.0592893,29.95829468101588
152,166.1160668,30.058989778658056
151,171.1698191,29.879159379334272
152,176.213266,30.13838435735368
150,181.2174839,29.97505416042661
151,186.2463738,30.0271027413313
151,191.3024,29.86599365990446
152,196.3598852,30.055100886471244
151,201.3978847,29.972719862554236
151,206.3983817,30.197622239224884
150,211.4334788,29.79117932434956
152,216.4877992,30.073998458193152
151,221.5447208,29.86085238297512
152,226.5794682,30.190971000817576
151,231.5839818,30.173619204729302
150,236.6127988,29.828515862307594
151,241.6183578,30.166846635547536
150,246.6630956,29.734369202107736
143,251.7002387,28.38962662102038
151,256.7599746,29.84394856231422
151,261.7956377,29.987041626223878
152,266.8521987,30.060910524411792
150,271.8534225,29.99303381796544
151,276.8845932,30.01356116051191
151,281.8866987,30.187561517152474
150,286.9151603,29.830525624600494
151,291.9195615,30.17371748512176
150,296.9465128,29.83981747262157
151,301.9521536,30.166551327887635
