Frames Analyzed,Elapsed Time (s),FPS
137,5.0461401,27.14946581543381
152,10.0883653,30.145848191815336
152,15.143065,30.072020709017924
151,20.1971221,29.877634072073995
152,25.2400321,30.14213045688569
151,30.2943126,29.87626379316366
151,35.3368387,29.94569932459359
152,40.3920528,30.068867201322778
151,45.4478928,29.86706702514004
152,50.4902123,30.14619795358088
152,55.5467289,30.061351658838785
151,60.6014479,29.87362881280241
152,65.6397225,30.16961396668933
150,70.6407395,29.994293285759454
151,75.675915,29.989460194284433
151,80.7260167,29.90408709654485
151,85.7848674,29.84912119245302
152,90.8240904,30.16477388664102
152,95.8771122,30.081891220002365
151,100.9355341,29.851476253358218
152,105.9775918,30.146984797748242
151,111.0313725,29.879165882915697
152,116.0893266,30.052450026977017
151,121.1282609,29.9676012522885
152,126.1869183,30.048312150722968
151,131.2214676,29.99382603906658
152,136.2778491,30.061478888693575
151,141.3396769,29.832010221118413
152,146.376194,30.180286308462936
151,151.4292149,29.883386713110067
152,156.4906347,30.033292893109277
151,161.5259835,29.989241607828504
152,166.5847803,30.047120606176936
151,171.6368659,29.88888776283219
152,176.6796264,30.14264271931534
151,181.7324239,29.885126718676812
152,186.7746122,30.145889445344984
151,191.8322738,29.8560570287861
152,196.8904992,30.050870192142494
151,201.9281377,29.97558776221815
152,206.9860799,30.053115520478737
151,212.0416709,29.868860077505143
152,217.0816932,30.15952064934083
151,222.1358275,29.87765180731004
152,227.1951862,30.04418907235127
151,232.2297267,29.994100696711318
151,237.2314313,30.190063242584337
150,242.2653676,29.79851614117083
152,247.3193472,30.075551566323842
151,252.3778775,29.850873733097288
152,257.413801,30.184221452418665
151,262.4191871,30.167892312212114
150,267.4511904,29.809689576002675
152,272.5038994,30.08393397787766
151,277.5598343,29.866688946029864
151,282.5996952,29.96156526439464
152,287.655373,30.065842216438067
151,292.7135198,29.853537162740782
152,297.7474981,30.195117072130476
150,302.7545586,29.958096412224368
