Frames Analyzed,Elapsed Time (s),FPS,CPU Load, Memory usage Percentage
137,5.7644226,23.76647650015908,0.0,0.05662890868771257
153,10.84641,30.131212568614973,0.0,0.0633843891141278
151,15.8965158,29.900817799247932,0.0,0.069137699439549
152,20.9350794,30.167761931741826,0.0,0.07270562840530193
152,25.9886536,30.078145793126076,0.0,0.07837377354677406
151,31.045977,29.858107353104685,0.0,0.08124726038514854
152,36.0832877,30.17531340934151,0.0,0.08706127704946973
151,41.1440276,29.83796227821576,0.0,0.09141346941840671
151,46.1795123,29.988171354476528,0.0,0.0942733506124572
152,51.2343299,30.071039665837947,0.0,0.1000233303860244
151,56.2900103,29.867818485790217,0.0,0.10289175476554079
152,61.3312662,30.151675623830233,0.0,0.10741317467443733
152,66.3875791,30.061892095884065,0.0,0.11029776350907725
151,71.4410096,29.881087519607732,0.0,0.11597421330275905
152,76.479708,30.166917124849874,0.0,0.11884506400377237
151,81.5363362,29.862400781184583,0.0,0.12460018702498442
151,86.5917012,29.86980779411687,0.0,0.12908971755797582
152,91.6385986,30.118228909437754,0.0,0.13483959358296913
152,96.6873393,30.107127497980446,0.0,0.13770909787104113
151,101.7265459,29.965490669331626,0.0,0.140594402957397
152,106.7871734,30.036258506584577,0.0,0.1450469097392006
151,111.841174,29.8777735898329,0.0,0.1507953310290887
152,116.8803273,30.164199215325986,0.0,0.1539063106946768
151,121.9346548,29.87590498765769,0.0,0.15942549075629642
151,126.9905885,29.86639535057363,0.0,0.1622906706730086
152,132.0307091,30.158589538322587,0.0,0.166867028125082
152,137.0862207,30.066595134544453,0.0,0.16963734231188005
151,142.1420096,29.86719581052251,0.0,0.17538300221806774
152,147.1830471,30.153054923035715,0.0,0.17825529399552822
151,152.2382113,29.871098888886117,0.0,0.18284394413090307
152,157.2952701,30.05763690299477,0.0,0.1856277363856696
151,162.3345612,29.96501614132073,0.0,0.1913657058661278
152,167.3910704,30.060742278438536,0.0,0.19425477604066924
151,172.4310223,29.961038546423747,0.0,0.2000002448702571
152,177.4874828,30.06113881877919,0.0,0.20159402451960248
151,182.5448319,29.85808727946021,0.0,0.20735928093885175
152,187.5838403,30.16507320328985,0.0,0.2102385824380381
151,192.6392958,29.869105272731836,0.0,0.2160038227067027
152,197.6952158,30.06415928940986,0.0,0.21894043275373798
151,202.745024,29.90255687456416,0.0,0.02654324137780742
152,207.7909308,30.12396626488364,0.0,0.0301562545307386
151,212.8464398,29.86884294353135,0.0,0.03383056666855726
152,217.886845,30.156806465619304,0.0,0.03738965534069532
151,222.9414274,29.874371738005483,0.0,0.04251855325754555
152,227.9814454,30.15928607096746,0.0,0.04615639860239073
151,233.0385651,29.85946533878658,0.0,0.04974148164824274
152,238.0956386,30.05735041331724,0.0,0.05337970039001314
151,243.1355844,29.961183005604287,0.0,0.056990886763208924
152,248.191986,30.06154309856191,0.0,0.06140840945898887
151,253.2485976,29.862384835762324,0.0,0.06501887250463083
152,258.2863283,30.17276348708136,0.0,0.07224562782206928
151,263.3419805,29.868328342652156,0.0,0.0758680977966162
152,268.398343,30.061503859165335,0.0,0.08027420525323284
151,273.4375669,29.96528373045636,0.0,0.08388724890930063
152,278.4951165,30.054466206382514,0.0,0.08749894782695608
151,283.5348254,29.962403533214246,0.0,0.09110160614959306
152,288.5919536,30.057048475750715,0.0,0.09471635959062177
151,293.64828,29.864095817626335,0.0,0.0991509081414854
152,298.6892718,30.153135076999206,0.0,0.10271241246655137
151,303.7562506,29.801329143226983,0.0,0.10632176812554323
