time,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp,Frame
1,2133,2247,2128,2240,2061,0.076303795,0.4052795,0.3019609,2910,645,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,9
1,1953,2056,2006,1933,1922,0.08238911,0.40717497,0.14865045,3340,492,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
1,1846,1982,2052,1739,1892,0.08689479,0.40784973,0.057663485,3612,418,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,0
1,1814,1978,2074,1702,1911,0.09029456,0.40804598,0.014010772,3769,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.734314,36.53,0
1,1741,1971,1997,1619,1983,0.09496476,0.40803516,-0.039897695,3973,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1740,1971,1997,1621,1983,0.09498775,0.40803424,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1741,1971,1998,1619,1984,0.09496476,0.40803516,-0.039897695,3973,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1741,1970,1997,1620,1984,0.09496476,0.40803516,-0.039897695,3973,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1741,1971,1998,1619,1983,0.09496476,0.40803516,-0.039897695,3973,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1741,1971,1997,1620,1983,0.09498775,0.40803424,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1741,1970,1997,1619,1983,0.09496476,0.40803516,-0.039897695,3973,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1741,1971,1997,1619,1983,0.09498775,0.40803424,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1730,2004,2053,1513,2005,0.09498775,0.40803424,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
1,1738,1938,1997,1619,1985,0.09496476,0.4080354,-0.039897695,3973,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1742,1970,1997,1620,1985,0.09498775,0.40803447,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1743,1971,1996,1619,1986,0.09496476,0.4080354,-0.039897695,3973,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1742,1971,1997,1619,1983,0.09498775,0.40803447,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1742,1969,1997,1619,1985,0.09498775,0.40803447,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1742,1970,1997,1620,1985,0.09496476,0.4080354,-0.03937176,3972,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1743,1972,1997,1621,1985,0.09498775,0.4080345,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,0
1,1743,1969,1995,1619,1983,0.09498775,0.4080345,-0.039634727,3973,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.718689,36.53,1
1,1757,2013,2024,1666,2058,0.09680409,0.40796247,-0.06040921,4052,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.718689,36.53,3
1,1831,2085,2065,1752,2164,0.10006551,0.4077652,-0.09827662,99,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.718689,36.53,1
1,1803,2018,1869,1721,2176,0.10455365,0.4073227,-0.14929244,294,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
1,1746,1913,2224,1640,2182,0.11131152,0.40630624,-0.2279199,592,408,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
1,1827,1890,2370,1696,2200,0.12079291,0.40410703,-0.33915544,1015,408,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
1,1908,2289,2492,1851,2237,0.1294942,0.40103734,-0.44407973,1415,409,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
1,2021,2419,2553,1967,2252,0.13545747,0.39820018,-0.5195516,1702,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.812439,36.53,2
1,2129,2538,2473,2238,2285,0.13951208,0.3958811,-0.57346004,1906,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
1,2051,2426,2368,2065,2237,0.14301059,0.39362153,-0.6205313,2086,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
1,1929,2429,2349,2013,2250,0.1467546,0.39094564,-0.67312497,2286,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
1,1783,2423,2336,2086,2210,0.15181,0.3869147,-0.74754494,2568,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
2,1911,2409,2370,2162,2149,0.159066,0.38018823,-0.8606212,2998,408,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
2,1819,2413,2368,2147,2050,0.16581671,0.37233704,-0.9784309,3447,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
2,1768,2375,2341,2102,1926,0.16968362,0.36659116,-1.0581102,3749,408,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
2,1819,2365,2372,2106,1828,0.17204255,0.3624004,-1.1125447,3957,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
2,1834,2351,2390,2081,1822,0.17382388,0.35878915,-1.1585641,36,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
2,1848,2365,2387,2031,1784,0.1756861,0.35453054,-1.2116836,238,409,-109.32061,0.24427481,15.687023,-0.3739624,0.001953125,-1.828064,36.53,2
2,1743,2319,2357,1951,1729,0.17800696,0.34834802,-1.2871555,525,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.812439,36.53,1
2,1645,2391,2394,2010,1709,0.18064709,0.339291,-1.3954984,936,408,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
2,1581,2343,2291,1999,1689,0.1823285,0.3297977,-1.505682,1355,408,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
2,1589,2308,2122,1986,1724,0.18278366,0.32281756,-1.5856243,1659,408,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
2,1642,2240,1866,1945,1817,0.18270929,0.317802,-1.6424254,1876,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
2,1572,1989,1994,1858,1717,0.1824211,0.31378564,-1.6889708,2052,408,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
2,1532,2006,2155,1801,1673,0.1818921,0.30933005,-1.7397237,2246,409,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
2,1329,1860,2233,1399,1645,0.18113387,0.30488434,-1.8243995,2505,346,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
2,1598,2056,2270,1438,1932,0.17996772,0.30038506,-1.9716616,2886,167,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,1
2,1834,2050,2010,1719,2124,0.17878252,0.29758856,-2.1262867,3246,4035,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
3,1991,1916,1514,1843,2250,0.17851557,0.29715845,-2.2609265,3513,3790,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
3,1945,1762,1158,1847,2231,0.17971678,0.2986135,-2.372951,3685,3536,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
3,1935,1706,1753,1791,2253,0.1819663,0.30078888,-2.4781382,3817,3268,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
3,2039,1731,2033,1799,2310,0.184178,0.30251765,-2.588585,3966,2997,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
3,2166,1797,2223,1965,2339,0.18637097,0.30387127,-2.702713,31,2724,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
3,2202,1794,2332,2065,2362,0.18730828,0.30431125,-2.818156,228,2482,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
3,2176,2056,2339,1981,2373,0.18593383,0.30385053,-2.9467473,504,2269,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
3,2194,2023,2365,1970,2353,0.18087718,0.3028526,-3.1024244,912,2085,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
3,2197,2133,2387,1951,2296,0.17540507,0.30263814,3.0182467,1340,1895,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
3,2186,2067,2290,1983,2236,0.17408064,0.30280235,2.8699327,1651,1642,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
3,2133,2006,2071,2043,2230,0.17523326,0.3024813,2.7400265,1872,1369,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
3,2162,1846,1884,2127,2197,0.1770335,0.30171683,2.6193242,2059,1097,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
3,2079,1943,1973,2110,2063,0.17828986,0.3009937,2.498622,2257,836,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
3,2074,1965,2025,2114,2013,0.1783451,0.30095232,2.3647711,2510,580,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
3,1886,1956,1914,2002,1810,0.17652367,0.30274278,2.2056754,2868,333,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
4,1624,1815,2155,1836,1711,0.17350776,0.30683705,2.0397425,3294,128,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.812439,36.53,1
4,1595,2089,2171,1678,1863,0.17126155,0.3112706,1.9129919,3643,4091,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
4,1684,2031,1745,1724,2009,0.16997214,0.3148904,1.8327866,3879,4022,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
4,1858,2056,1939,1827,2102,0.16891132,0.31884637,1.7812448,4066,4013,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
4,1759,2024,2001,1681,2004,0.16811822,0.3225592,1.7373291,136,4012,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
4,1690,2287,2283,1961,2098,0.16722189,0.32789168,1.6755316,371,4012,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,1
4,1777,2375,2425,2054,2022,0.16637033,0.3359925,1.5824409,725,4012,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
4,1631,2381,2366,2054,1927,0.1662629,0.34521875,1.4580569,1162,3976,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
4,1562,2412,2363,2087,2066,0.1667392,0.34942564,1.3213135,1514,3808,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
4,1755,2327,2125,1901,2171,0.16685282,0.34987158,1.1945629,1765,3577,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
4,1926,2295,2281,1862,2249,0.1662272,0.34828794,1.078331,1949,3319,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
4,2045,2184,2368,1697,2282,0.16523722,0.34644288,0.9586805,2131,3046,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
4,2119,1829,2103,1906,2328,0.16449682,0.3453883,0.8271965,2353,2768,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,1
4,2163,1865,1556,1945,2355,0.16521333,0.34616736,0.66573405,2683,2484,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,0
4,1825,1555,1747,1478,2240,0.16857925,0.34881073,0.4648264,3158,2195,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,1
4,1295,1883,1977,1103,1924,0.17073894,0.34989375,0.28206354,3558,1900,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
5,1053,2052,2126,1526,1167,0.16992122,0.3496568,0.1371681,3815,1606,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,3
5,1375,2228,2340,1721,1478,0.16807494,0.34940195,0.00805074,4020,1320,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
5,1691,2390,2435,1880,1935,0.16632625,0.34938788,-0.11817396,126,1042,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.718689,36.53,2
5,2057,2460,2379,2150,2156,0.16602921,0.34942314,-0.25202474,374,781,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
5,2091,2399,2370,2216,2145,0.16845804,0.3487977,-0.41427606,737,527,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
5,1994,2428,2430,2206,2042,0.17275496,0.34690824,-0.59204257,1177,291,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
5,2012,2440,2433,2218,2066,0.17666914,0.3442759,-0.7337824,1549,124,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,1
5,2031,2465,3421,2219,2083,0.17921527,0.34197992,-0.82608426,1799,23,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
5,2067,3219,3882,2237,2125,0.18166369,0.3393237,-0.88788176,1995,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
5,2117,3885,2491,2630,2172,0.18434997,0.33602154,-0.9370568,2181,4079,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.734314,36.53,2
5,2614,2543,2401,3871,2355,0.18759283,0.33160862,-0.9996432,2419,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
5,3829,2447,2319,2955,3738,0.19215798,0.3245044,-1.0956266,2785,4080,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.734314,36.53,1
5,3669,2410,2295,2254,3891,0.19714764,0.3148061,-1.2207994,3260,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
5,2066,2304,2263,2127,2917,0.20005901,0.3068303,-1.3173088,3628,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
5,1912,2333,2276,2049,2021,0.2014266,0.30155125,-1.3796322,3865,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
6,1989,2378,2355,2120,2061,0.20226163,0.29723644,-1.4298592,4056,4080,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
6,2034,2386,2365,2142,2105,0.20287575,0.29290795,-1.4803491,151,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
6,2002,2205,2286,2010,2129,0.20338286,0.28731653,-1.5439874,394,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
6,1843,2133,2276,1866,2116,0.20360738,0.27894402,-1.6402338,759,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
6,1772,2149,2204,1809,2146,0.20290653,0.2688671,-1.7556767,1198,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
6,1891,2146,2164,1898,2225,0.20139225,0.26077002,-1.8498193,1556,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
6,1998,2198,2187,1935,2186,0.19986497,0.25543916,-1.9131947,1797,4079,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
6,2072,2292,2215,1966,2203,0.19838168,0.25127774,-1.9636846,1989,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
6,2058,2313,2243,2032,2221,0.19674312,0.24732403,-2.0125966,2175,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,2
6,2001,2317,2318,2043,2218,0.1944705,0.24251914,-2.0733423,2406,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
6,2009,2396,2365,2148,2241,0.19045852,0.2352195,-2.168537,2768,4079,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
6,2019,2411,2327,2149,2237,0.1842299,0.22607085,-2.2944987,3248,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
6,2025,2401,2275,2133,2234,0.17860775,0.21970835,-2.3915339,3617,4080,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
6,2031,2328,2158,2076,2255,0.1745505,0.2159282,-2.455435,3859,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
6,2099,2345,2149,2135,2310,0.17111465,0.21311459,-2.505662,4051,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
7,2170,2220,2212,2150,2349,0.16765295,0.21055903,-2.555363,143,4079,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,1
7,2157,2164,2214,2131,2357,0.16293766,0.20742756,-2.619527,388,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
7,2081,2219,2304,1957,2300,0.15587726,0.20336567,-2.7126179,742,4080,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.812439,36.53,2
7,2001,2304,2420,1855,2260,0.14675403,0.19919287,-2.827798,1179,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
7,1958,2476,2468,2085,2268,0.13891879,0.1966502,-2.9214146,1536,4080,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
7,1964,2498,2448,2236,2238,0.13332768,0.19539888,-2.9868937,1785,4080,-109.32061,0.24427481,15.687023,-0.1239624,0.001953125,-1.749939,36.53,2
7,2073,2387,2181,2251,2177,0.12907624,0.1947359,-3.0365946,1973,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,1
7,2101,2022,1933,2025,2160,0.1249573,0.19430183,-3.0839288,2153,4079,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,2
7,1910,1579,1367,1477,2019,0.120317064,0.19403395,3.1350923,2376,4058,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.781189,36.53,1
7,1503,1035,751,934,2102,0.11679665,0.19405684,3.0128121,2685,3902,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.765564,36.53,2
7,1763,1285,820,1367,2287,0.11289457,0.19456215,2.8516126,3077,3681,-109.32061,0.24427481,15.687023,-0.3739624,0.001953125,-1.828064,36.53,2
7,2015,1560,959,1703,2092,0.11163778,0.19493717,2.7046134,3385,3430,-109.32061,0.24427481,15.687023,-0.2489624,0.001953125,-1.796814,36.53,1
