nanoTime,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp
994606643655600,4069,4067,4071,4067,4070,0.019389326,-0.16145569,-2.795614,2060,3717,15.030535,-6.4656487,11.748092,0.12695312,-0.115722656,0.86572266,34.45941
994606683669500,4068,4069,4071,4067,4070,0.01618568,-0.16261053,-2.8345332,2208,3717,8.984733,-11.519084,19.74809,0.12182617,-0.12792969,0.859375,34.412354
994606724599400,4067,4070,4071,4067,4070,0.013005327,-0.16361898,-2.8726635,2353,3717,10.633588,-10.61832,23.496183,0.091796875,-0.119628906,0.8557129,34.365295
994606765730500,4068,4070,4071,4066,4070,0.009456104,-0.16459717,-2.9147384,2513,3717,17.022902,-10.297709,28.19084,0.08227539,-0.11743164,0.82958984,34.365295
994606806733500,4067,4069,4072,4066,4070,0.0052635306,-0.16556492,-2.9644394,2701,3716,15.61832,-2.0610688,34.14504,0.095214844,-0.1352539,0.87597656,34.45941
994606847690800,4068,4070,4070,4066,4069,3.7121843E-4,-0.1664408,-3.0212405,2917,3716,12.053435,4.1374044,41.78626,0.103515625,-0.10229492,0.91918945,34.412354
994606888701900,4067,4069,4071,4066,4068,-0.005362442,-0.16713421,-3.0872455,3168,3716,2.9694657,2.572519,52.045803,0.088378906,-0.049560547,0.91381836,34.365295
994606928660700,4066,4069,4069,4066,4067,-0.0116118435,-0.16747418,3.1249385,3439,3717,-3.5038168,5.3587785,56.068703,0.061767578,-0.09375,0.88061523,34.318233
994606968740200,4066,4070,4071,4067,4067,-0.017202428,-0.16738106,3.0615633,3681,3718,-2.7709923,7.2671757,55.305344,0.07495117,-0.1484375,0.92407227,34.412354
994607009654900,4065,4069,4071,4063,4067,-0.021812577,-0.16701132,3.0081806,3883,3717,5.4351144,18.854961,53.251907,0.026611328,-0.07836914,0.8408203,34.365295
994607049617300,4065,4068,4070,4063,4067,-0.025757885,-0.16648182,2.963213,4055,3718,8.305344,24.786259,55.885498,0.091796875,-0.032714844,0.8901367,34.365295
994607089681600,4063,4069,4071,4063,4065,-0.029018708,-0.16589391,2.9253457,103,3718,7.89313,19.465649,63.55725,0.048095703,-0.034179688,0.8117676,34.412354
994607130662300,4063,4068,4071,4063,4066,-0.032075144,-0.16522247,2.889582,239,3718,-1.4961832,17.70229,68.8855,0.034179688,-0.095947266,0.8564453,34.318233
994607169761600,4063,4069,4069,4063,4066,-0.03519475,-0.16441922,2.8538182,377,3720,-3.2824428,14.137404,68.1145,9.765625E-4,-0.0625,0.7915039,34.365295
994607210702100,4065,4068,4071,4064,4066,-0.03863666,-0.16340044,2.8122692,534,3719,1.4351145,6.3206105,58.572517,-0.061035156,0.030761719,0.7561035,34.365295
994607250655800,4064,4069,4071,4063,4066,-0.04264293,-0.16203122,2.764409,717,3720,-2.2824428,7.2748094,42.44275,-0.071777344,-0.08984375,0.8781738,34.45941
994607290668700,4064,4068,4071,4063,4066,-0.047327835,-0.1601753,2.706819,936,3720,-1.4427481,8.076336,38.84733,-0.041748047,-0.033691406,0.8510742,34.271175
994607331698600,4066,4069,4071,4063,4066,-0.052461613,-0.15779111,2.642129,1182,3720,2.389313,11.473283,36.633587,-0.0146484375,0.09057617,0.83203125,34.318233
994607371689900,4065,4068,4071,4065,4066,-0.057410326,-0.15509106,2.5777018,1427,3720,-3.7099237,8.343512,37.427483,-0.03857422,-0.07006836,0.91748047,34.365295
994607413675500,4065,4069,4071,4065,4066,-0.06163041,-0.15242235,2.5211637,1643,3721,-5.59542,6.2061067,36.992367,-0.041992188,-0.0053710938,0.91381836,34.271175
994607454619500,4065,4069,4071,4065,4063,-0.06509386,-0.14994752,2.4714627,1830,3719,2.6946564,-2.687023,31.87023,-0.05078125,-0.13647461,0.93530273,34.271175
994607495660800,4066,4069,4071,4065,4067,-0.068033345,-0.14761809,2.4291248,1992,3720,6.1679387,-3.29771,23.633587,-0.068603516,-0.010253906,0.78466797,34.365295
994607535639600,4066,4069,4073,4069,4068,-0.07019251,-0.14575294,2.38705,2134,3702,-1.3358779,0.38931298,5.7175574,-0.06665039,0.0068359375,0.85424805,34.365295
994607576633000,4067,4070,4071,4065,4067,-0.06601814,-0.14967734,2.2558289,2259,3328,-10.671756,5.1984735,-5.8244276,-0.011230469,0.032226562,0.83740234,34.412354
994607617647300,4066,4069,4071,4065,4068,-0.06925006,-0.14572158,2.2558289,2370,3439,-18.709923,-1.4961832,-16.007633,-0.07397461,0.00390625,0.7697754,34.365295
994607658650100,4066,4069,4071,4065,4068,-0.06849304,-0.14664815,2.1869311,2475,3282,-15.61832,-8.022901,-22.595419,0.024169922,-0.0390625,0.8491211,34.224117
994607698705700,4066,4069,4071,4065,4068,-0.06765533,-0.1478312,2.1177704,2575,3119,-18.969465,-8.091603,-30.08397,-0.044433594,0.0034179688,0.8547363,34.365295
994607739672900,4065,4069,4070,4065,4068,-0.06673384,-0.14934446,2.0522914,2661,2956,-11.030535,-10.450381,-40.76336,-2.4414062E-4,-0.06518555,0.91967773,34.412354
994607780642400,4061,4067,4070,4063,4066,-0.06578546,-0.1511595,1.9852345,2744,2784,-10.083969,-7.1679387,-62.908398,0.004638672,-0.09838867,0.86743164,34.412354
994607821758700,4067,4060,4071,4063,4066,-0.06473847,-0.15353948,1.9202814,2811,2604,-1.9236641,-5.1679387,-88.94656,-0.021484375,-0.091796875,0.8679199,34.318233
994607861689500,4063,4067,4071,4063,4066,-0.06371421,-0.15634991,1.8566431,2867,2418,1.5267175,4.374046,-103.32825,-0.034179688,-0.057128906,0.8652344,34.365295
994607902646800,4066,4069,4071,4063,4067,-0.06275398,-0.15961717,1.7982641,2904,2233,7.0229006,6.3129773,-117.56489,-0.011962891,-0.13232422,0.94433594,34.271175
994607943691400,4065,4068,4071,4065,4067,-0.06212093,-0.16235204,1.7346258,2964,2051,12.519084,7.8396945,-122.36641,-0.014404297,-0.07373047,0.9992676,34.271175
994607984695100,4066,4069,4072,4065,4067,-0.062165964,-0.16207962,1.6541575,3123,1904,11.78626,19.76336,-131.50381,0.013427734,-0.057617188,0.8989258,34.45941
994608025651100,4066,4069,4073,4066,4067,-0.062361386,-0.15974078,1.5700077,3334,1795,16.526718,17.70229,-133.51909,0.03491211,-0.031982422,0.8640137,34.412354
994608066684000,4066,4069,4073,4067,4068,-0.06235834,-0.15587515,1.4858578,3578,1719,30.770992,15.290076,-120.69466,0.048339844,-0.10913086,0.81518555,34.45941
994608107663000,4067,4071,4074,4066,4069,-0.06201868,-0.1518859,1.418012,3794,1677,30.167938,5.2671757,-91.16794,0.12084961,-0.072509766,0.88671875,34.365295
994608147606500,4066,4071,4073,4067,4069,-0.061402354,-0.14788336,1.3664702,3980,1667,23.06107,5.70229,-62.374046,0.1015625,-0.109375,0.8791504,34.365295
994608187661100,4066,4069,4074,4066,4068,-0.06069269,-0.14445864,1.3275509,34,1669,14.412213,-6.1603055,-39.160305,0.07714844,-0.14257812,0.80444336,34.365295
994608228659500,4066,4070,4074,4067,4069,-0.059894647,-0.14124279,1.2896835,178,1669,3.9923663,-8.122137,-17.91603,0.08666992,-0.12548828,0.82055664,34.318233
994608268634500,4068,4068,4072,4066,4071,-0.05900096,-0.13814788,1.2528679,318,1669,-4.8778625,-4.7251906,4.40458,0.07861328,-0.15551758,0.83374023,34.365295
994608309676000,4067,4070,4072,4069,4069,-0.057864495,-0.13469453,1.210793,477,1668,-11.671756,-1.4274809,26.38168,0.0847168,-0.1459961,0.8720703,34.412354
994608349730300,4065,4070,4074,4067,4068,-0.0563325,-0.13062447,1.161092,666,1668,-18.755726,-4.59542,50.38168,0.10620117,-0.14111328,0.8569336,34.365295
994608389686400,4065,4070,4073,4067,4068,-0.05424273,-0.12581244,1.1011353,894,1668,-26.366413,-9.557252,75.740456,0.10449219,-0.125,0.8703613,34.318233
994608430681200,4070,4071,4072,4067,4069,-0.051639274,-0.12068287,1.0353932,1144,1668,-28.89313,-12.358779,100.419846,0.099365234,-0.13208008,0.8754883,34.365295
994608471664100,4067,4071,4073,4067,4069,-0.04845793,-0.11531983,0.96412885,1415,1668,-32.099236,-17.015266,115.221375,0.09790039,-0.14575195,0.84887695,34.412354
994608512682100,4067,4069,4073,4067,4069,-0.04538818,-0.11089637,0.9025943,1649,1668,-31.152672,-15.725191,118.37405,0.09033203,-0.13647461,0.8210449,34.365295
994608554666800,4067,4070,4071,4074,4069,-0.042593956,-0.107356384,0.8510526,1845,1668,-34.030533,-14.572519,110.89313,0.06616211,-0.11230469,0.8659668,34.365295
994608594642800,4067,4068,4071,4065,4069,-0.04006093,-0.10446683,0.8071369,2012,1668,-22.473282,-8.587787,98.64886,0.080566406,-0.12817383,0.91845703,34.45941
994608634714500,4067,4069,4070,4064,4073,-0.037705835,-0.102007054,0.7682176,2160,1668,-6.259542,-6.4885497,83.69466,0.045654297,-0.111328125,0.87890625,34.271175
994608675682000,4067,4068,4069,4066,4067,-0.035306457,-0.09968874,0.7300872,2305,1668,-4.2671757,-5.7251906,65.61069,0.044921875,0.041503906,0.8586426,34.412354
994608716649300,4067,4068,4069,4065,4068,-0.032786157,-0.09743288,0.6914309,2452,1668,4.0458016,-4.740458,48.35878,0.041748047,-0.17041016,0.92407227,34.365295
994608757609600,4070,4068,4069,4066,4067,-0.029755153,-0.09492398,0.6464634,2623,1668,4.6183205,-3.9389312,30.740458,0.012451172,-0.030517578,0.8557129,34.45941
994608797632900,4077,4069,4069,4065,4068,-0.026191995,-0.09223508,0.5954476,2817,1668,7.1755724,2.740458,11.908397,0.030761719,-0.099853516,0.9055176,34.365295
994608838695900,4067,4067,4070,4065,4066,-0.021810567,-0.08926678,0.5354909,3046,1669,1.870229,4.671756,-4.9847326,-0.0026855469,-0.0031738281,0.8425293,34.365295
994608879653100,4066,4068,4070,4062,4068,-0.016843585,-0.08631978,0.46895993,3298,1668,6.2824426,2.923664,-16.93893,0.038330078,-0.103759766,0.8371582,34.365295
994608920734700,4067,4069,4071,4066,4068,-0.011732722,-0.08373032,0.4040068,3546,1669,5.9541984,2.6564887,-23.42748,0.057861328,-0.061523438,0.88623047,34.365295
994608960723100,4067,4068,4070,4065,4067,-0.0070569636,-0.08173132,0.34536493,3768,1668,6.847328,0.0,-26.57252,0.04248047,-0.13452148,0.85498047,34.365295
994609001740100,4067,4068,4069,4066,4067,-0.0029432673,-0.08025128,0.29592693,3957,1669,-1.778626,1.4045801,-31.93893,0.04248047,-0.0021972656,0.84228516,34.45941
994609042759000,4067,4069,4071,4067,4068,6.0026726E-4,-0.07917093,0.2530631,23,1668,-0.38931298,5.70229,-41.87786,0.05126953,-0.16699219,0.9147949,34.412354
994609082751900,4067,4068,4063,4065,4067,0.003830411,-0.07833559,0.21545866,167,1669,-4.6564884,9.748092,-59.541985,0.040283203,-0.020751953,0.8330078,34.318233
994609123737400,4068,4068,4070,4065,4068,0.006842422,-0.07767639,0.179695,302,1668,-0.38931298,12.427481,-78.32825,0.02709961,-0.15209961,0.8659668,34.365295
994609163731300,4067,4069,4070,4064,4068,0.010238304,-0.077059515,0.14024977,452,1668,4.9923663,16.839695,-89.60305,0.049316406,-0.043945312,0.82373047,34.365295
994609204755900,4066,4067,4071,4066,4067,0.014111547,-0.0765127,0.095545195,622,1668,12.282443,20.91603,-101.8855,0.030517578,-0.107177734,0.9338379,34.318233
994609245687400,4067,4070,4071,4067,4066,0.019081881,-0.07603636,0.038481113,839,1668,17.51145,18.396946,-111.35878,0.025634766,-0.05444336,0.9091797,34.365295
994609286738900,4067,4070,4073,4067,4069,0.024876036,-0.07581328,-0.028312791,1092,1667,25.816793,26.290077,-116.16794,0.024902344,-0.091796875,0.85253906,34.412354
994609325785200,4070,4070,4063,4067,4070,0.031339172,-0.07599632,-0.101680905,1372,1668,30.25191,24.0,-108.221375,0.056152344,-0.10131836,0.8354492,34.365295
994609367791000,4067,4069,4073,4067,4069,0.036741417,-0.076547526,-0.16321546,1607,1669,30.458015,13.106871,-82.57252,0.07836914,-0.09350586,0.8395996,34.318233
994609408722100,4067,4070,4072,4067,4067,0.041191384,-0.07728035,-0.2147572,1803,1669,27.526718,1.5419847,-49.305344,0.07543945,-0.13012695,0.8154297,34.271175
994609449802800,4067,4071,4073,4067,4069,0.045103103,-0.078133576,-0.26051366,1977,1669,20.51145,-3.7175572,-21.32061,0.072021484,-0.111083984,0.8171387,34.365295
994609491670800,4067,4071,4074,4068,4075,0.0485715,-0.079058155,-0.30153668,2133,1669,8.969465,-4.5648856,-2.3206108,0.05029297,-0.15893555,0.8400879,34.318233
994609532648800,4065,4070,4067,4067,4068,0.051801316,-0.080062695,-0.34071892,2281,1668,-4.847328,-2.9160306,10.572519,0.055664062,-0.14282227,0.8249512,34.318233
994609572680100,4067,4070,4073,4066,4069,0.05522786,-0.081277564,-0.38174194,2438,1669,-16.946566,-3.664122,24.48855,0.08886719,-0.14379883,0.86694336,34.412354
994609613629900,4067,4070,4074,4066,4069,0.058879294,-0.08274338,-0.42723542,2610,1668,-22.244274,-5.6946564,43.67939,0.08325195,-0.10107422,0.8581543,34.365295
994609654652200,4066,4069,4074,4067,4070,0.062983826,-0.08461209,-0.47877717,2806,1668,-21.664122,-11.946565,71.10687,0.08911133,-0.12841797,0.86206055,34.412354
994609694656000,4067,4069,4073,4067,4069,0.068150714,-0.087294,-0.54583406,3060,1667,-22.992367,-16.412214,96.75572,0.099609375,-0.119628906,0.8652344,34.365295
994609734641700,4068,4070,4072,4067,4068,0.07344094,-0.09050722,-0.61604655,3328,1668,-22.32061,-19.0,116.15267,0.0847168,-0.13647461,0.8222656,34.365295
994609775640500,4067,4069,4072,4067,4071,0.07783542,-0.09361832,-0.6775811,3562,1668,-27.900763,-23.564886,124.84733,0.08935547,-0.118652344,0.8256836,34.365295
994609816644600,4067,4070,4071,4066,4069,0.08211989,-0.097065896,-0.7404305,3801,1668,-24.503817,-18.648855,120.75572,0.09399414,-0.1694336,0.86694336,34.50647
994609856644700,4068,4069,4071,4066,4069,0.08527915,-0.09995308,-0.7898685,3988,1667,-24.954199,-14.366412,105.47328,0.064941406,-0.23291016,0.86743164,34.318233
994609896642600,4067,4069,4071,4066,4066,0.08782215,-0.10251891,-0.83115447,49,1667,-34.183205,-11.496183,82.39695,0.043945312,-0.15136719,0.9165039,34.412354
994609937666200,4067,4069,4070,4055,4069,0.08999342,-0.10489856,-0.86797,189,1667,-17.89313,-6.8778625,59.053436,0.056152344,-0.09350586,0.8791504,34.318233
994609978682600,4068,4069,4067,4065,4068,0.092135124,-0.10742674,-0.9058374,333,1667,-5.7480917,-3.4580152,34.946564,0.06347656,-0.15185547,0.904541,34.365295
994610019671000,4067,4068,4069,4066,4077,0.09423637,-0.110106625,-0.9447567,481,1667,8.793893,-3.70229,14.702291,0.034423828,0.0146484375,0.8120117,34.318233
994610059677100,4066,4068,4069,4065,4067,0.09660925,-0.11338832,-0.9910391,657,1667,17.80916,-1.6946565,-1.9312977,0.034423828,-0.09790039,0.8779297,34.412354
994610099628400,4064,4068,4069,4066,4070,0.09930676,-0.117507786,-1.0473143,871,1667,22.221375,-0.648855,-13.450381,0.060546875,-0.09057617,0.8613281,34.412354
994610139650400,4067,4068,4070,4063,4068,0.102124885,-0.122390226,-1.1112156,1115,1668,13.977099,4.2519083,-22.694656,0.037109375,-0.026611328,0.81347656,34.224117
994610180680700,4067,4069,4069,4064,4069,0.10471733,-0.12762827,-1.1780095,1369,1668,13.267176,4.2061067,-30.42748,0.072021484,-0.16259766,0.88671875,34.365295
994610221642700,4071,4067,4069,4063,4068,0.106751814,-0.13253874,-1.2387551,1600,1668,4.7709923,3.8244274,-35.946564,0.061279297,-0.043701172,0.8144531,34.271175
994610262644500,4067,4083,4070,4065,4068,0.10825192,-0.13688931,-1.2913487,1800,1668,1.1374046,2.5038168,-35.10687,0.053710938,-0.2211914,0.80859375,34.45941
994610303692000,4066,4068,4070,4069,4069,0.109299116,-0.14053863,-1.3347385,1965,1668,-4.931298,3.1221373,-35.923664,0.055419922,-0.025878906,0.79296875,34.318233
994610343652000,4066,4068,4070,4063,4068,0.11011708,-0.14393912,-1.3747096,2117,1668,-2.7480917,4.9694657,-38.900764,0.05493164,-0.18359375,0.9152832,34.412354
994610384628800,4059,4067,4071,4065,4067,0.11076263,-0.14718902,-1.4120511,2260,1669,-2.6412213,11.206107,-53.419846,0.06323242,-0.16113281,0.91259766,34.365295
994610425691500,4067,4068,4071,4063,4069,0.11128642,-0.15046076,-1.4509704,2406,1667,0.90076333,16.961832,-69.41222,0.033691406,-0.076660156,0.8840332,34.365295
994610465656400,4066,4069,4071,4064,4069,0.11172926,-0.15413876,-1.4927824,2566,1668,3.9847329,24.045801,-84.8855,0.06640625,-0.03881836,0.90234375,34.45941
994610505652200,4067,4069,4071,4067,4067,0.11206459,-0.15842849,-1.5424833,2754,1667,14.267176,28.32061,-97.74809,0.064941406,-0.09814453,0.8886719,34.412354
994610545712300,4067,4068,4071,4067,4067,0.11221181,-0.1636266,-1.6013882,2979,1668,19.10687,29.19084,-104.229004,0.05859375,-0.0637207,0.8845215,34.318233
994610586743900,4065,4070,4073,4066,4069,0.112028114,-0.16962932,-1.6705488,3241,1667,26.70229,26.900763,-102.854965,0.0637207,-0.064453125,0.8635254,34.365295
994610627628000,4067,4070,4073,4066,4070,0.111423165,-0.1756737,-1.7394464,3504,1668,31.145039,22.022902,-89.618324,0.042236328,-0.075683594,0.84521484,34.365295
994610667737400,4067,4070,4073,4067,4069,0.11047692,-0.1812311,-1.8038735,3749,1668,27.580153,12.450381,-67.63359,0.0690918,-0.10058594,0.8425293,34.365295
994610708658400,4067,4070,4073,4066,4069,0.10942994,-0.18564144,-1.8556783,3946,1668,18.465649,0.3129771,-39.16794,0.076171875,-0.09106445,0.84765625,34.45941
994610748683900,4067,4071,4073,4067,4069,0.108414665,-0.18910836,-1.8969643,7,1668,8.312977,-6.740458,-12.396947,0.056884766,-0.10620117,0.8310547,34.318233
994610788663900,4067,4069,4073,4067,4069,0.10733826,-0.19229066,-1.9353577,153,1668,2.6183207,-8.854961,5.9083967,0.051757812,-0.13598633,0.8183594,34.412354
994610827671400,4066,4077,4073,4066,4065,0.10617331,-0.19534332,-1.9726992,295,1668,-4.3587785,-4.0,18.51145,0.061279297,-0.12084961,0.81591797,34.318233
994610868802000,4065,4071,4073,4067,4068,0.1048232,-0.19851975,-2.0126703,446,1667,-12.748092,-3.946565,35.648853,0.07348633,-0.1303711,0.86157227,34.318233
994610908749500,4067,4070,4073,4067,4071,0.10299301,-0.2023885,-2.0610564,631,1668,-17.183207,-11.480916,59.931297,0.10546875,-0.12768555,0.86987305,34.365295
