nanoTime,sensorValue1,sensorValue2,sensorValue3,sensorValue4,sensorValue5,xPos,yPos,theta,rawAngle1,rawAngle2,xGyro,yGyro,zGyro,xAccel,yAccel,zAccel,Temp,Frame
1655415015695,2429,1675,1601,2772,1539,8.9490775E-4,0.03045913,-1.2080754,2072,1574,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,2
1655479913160,2432,1520,1449,1860,1772,5.8466475E-4,0.03127661,-1.2864399,2202,1406,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,2
1655547018476,3819,1487,1406,1539,2265,5.717544E-4,0.03132078,-1.3711157,2362,1244,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,2
1655612077348,3849,1473,1371,1491,3053,7.9083233E-4,0.03023826,-1.4694657,2573,1081,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.718689,36.53,2
1655676928963,3698,1504,1391,1357,3799,0.0010841099,0.027353907,-1.583068,2852,928,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,1
1655742170019,2411,1624,1397,1256,3879,0.0010318732,0.023097431,-1.7116594,3189,776,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1655907165188,1623,1391,1186,3850,3850,5.796016E-4,0.01990798,-1.8263135,3477,628,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,4
1655972307986,1222,1417,1341,1046,2756,1.7832458E-4,0.018371856,-2.045366,3928,246,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,2
1656038177129,1135,1378,1338,1024,2103,4.937572E-4,0.018985862,-2.1232047,4061,83,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,1
1656102983726,1009,1318,1294,955,1604,0.0010491655,0.01988688,-2.202095,92,4006,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,2
1656168628927,894,1273,1266,1005,1310,0.0017010146,0.020778473,-2.283615,223,3827,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1656232709382,816,1215,1198,903,1198,0.0025737772,0.0217881,-2.366187,351,3641,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,1
1656296921392,805,1165,1111,1122,1210,0.0036089988,0.022802837,-2.450074,479,3450,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,2
1656362028764,1028,1157,1048,931,1529,0.004814223,0.023800634,-2.53212,601,3260,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,2
1656425948850,1361,1157,979,954,1986,0.006399035,0.024907045,-2.6099586,707,3070,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1656492130694,1478,1172,904,1041,1884,0.008342758,0.026050176,-2.6830637,797,2882,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.859314,36.53,2
1656556948717,1483,1288,962,1192,1855,0.010591745,0.027160317,-2.7485428,867,2703,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,1
1656622124664,1557,1451,1141,1350,1860,0.009762797,0.026816614,-2.8440003,1068,2541,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1656686990632,1594,1535,1236,1415,1772,0.010488741,0.027039262,-2.9284132,1212,2364,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,2
1656750977348,1549,1631,1413,1514,1652,0.009476743,0.026820196,-3.0317597,1431,2190,-15.519084,0.24427481,15.687023,0.62609863,0.001953125,-1.749939,36.53,1
1656816066703,1420,1741,1587,1515,1506,0.00897358,0.02676471,-3.129058,1627,2016,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1656881353316,1248,1716,1626,1386,1334,0.00908862,0.026766151,3.0649812,1794,1844,-15.519084,0.24427481,15.687023,0.0010986328,0.001953125,-1.734314,36.53,2
1656946015008,1102,1652,1620,1290,1228,0.010006309,0.026695708,2.9866166,1923,1675,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1657011060604,991,1574,1560,1198,1129,0.0109838685,0.026542984,2.9100928,2047,1508,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.765564,36.53,2
1657077196060,952,1554,1562,1120,1170,0.01179012,0.026352929,2.833306,2175,1344,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1657142320507,1009,1530,1596,1087,1237,0.011921669,0.026311038,2.751786,2327,1186,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,1
1657205980764,1007,1542,1600,1058,1283,0.011112893,0.026643306,2.6597471,2521,1030,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1657270090943,1028,1503,1474,973,1255,0.00874767,0.02788022,2.5482485,2791,876,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,1
1657335044651,842,1247,1288,751,1186,0.0053138477,0.030196024,2.4214978,3122,725,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1657400060617,719,1133,1134,629,1087,0.0025462646,0.032623846,2.3026361,3428,579,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1657465058251,1035,1235,1218,907,1355,0.0013161845,0.033993285,2.204286,3655,432,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,1
1657530099847,871,1206,1202,943,1167,0.0011527343,0.034215827,2.1206622,3820,279,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.781189,36.53,2
1657594736892,792,1439,1333,817,1174,0.0012970254,0.03398041,2.04072,3966,121,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,2
1657659618324,971,1914,1481,1030,1249,0.001817986,0.032954633,1.9655111,4084,4049,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.796814,36.53,1
1657724280295,1127,2158,1603,1196,1409,0.0021542204,0.032147497,1.883991,124,3875,-15.519084,0.24427481,15.687023,0.37609863,0.001953125,-1.828064,36.53,2
1657789106468,1275,1885,1694,1280,2034,0.0023810773,0.031447005,1.7987894,270,3697,-15.519084,0.24427481,15.687023,0.50109863,0.001953125,-1.812439,36.53,1
