Frames Analyzed,Elapsed Time (s),FPS,CPU Load, Memory usage Percentage
69,5.068595494,13.61324793512465,0.0,1.147254338866113
77,10.16144636,15.120371182679403,0.0,1.231992029817843
77,15.244342484,15.150435779854691,0.0,1.3248300526331314
77,20.338804925,15.11584829023308,0.0,1.4249116309749426
77,25.424027253,15.143052291962018,0.0,1.5370147423011564
77,30.512235564,15.13406614204649,0.0,1.6577122141557088
77,35.606350664,15.116441221335082,0.0,1.7940971225668554
77,40.687320093,15.155666104159591,0.0,1.940256797811171
77,45.781800965,15.116137268894978,0.0,2.1069746161304517
77,50.865826705,15.14652066232759,0.0,2.2966071134134505
83,55.926998406,16.400546025631435,0.0,2.546488244579202
96,61.019655256,18.85203087312262,0.0,1.0680311583817894
77,66.083572653,15.20683212790832,0.0,1.1339935503507914
77,71.177426919,15.117463303400838,0.0,1.199776857418753
77,76.266183582,15.13303034552541,0.0,1.2636954008296168
77,81.353274716,15.137752087230906,0.0,1.3287087879940087
77,86.441372741,15.134604193883419,0.0,1.3940882628694147
77,91.529912779,15.134182397078195,0.0,1.459793389337084
77,96.618480232,15.132979761559492,0.0,1.5254413164268552
77,101.707871111,15.130659202117997,0.0,1.5908077633208384
77,106.795729833,15.135194947045584,0.0,1.6564440766111663
77,111.885424815,15.12974579031972,0.0,1.7217846173688462
77,116.969233633,15.147374803495811,0.0,1.7874004934990528
77,122.058112404,15.131973357263426,0.0,1.8967713731632116
77,127.135583949,15.16591562708658,0.0,2.0678363497816017
76,132.186730152,15.04721788958207,0.0,2.284102718618136
77,137.26419017,15.166824099679625,0.0,2.5776179449976144
77,142.355713931,15.124561649961247,0.0,2.9448945178404475
77,147.447029799,15.125467756710963,0.0,3.3862766312826595
77,152.536474997,15.130708135297581,0.0,3.92508439572632
77,157.616880797,15.15815640454294,0.0,4.594374912460528
77,162.704546364,15.135437826041507,0.0,5.581115732203665
77,167.793167922,15.13281587754286,0.0,6.8945384543406405
77,172.88213787,15.131565171360844,0.0,9.002994410835495
77,177.977818785,15.118066960858151,0.0,12.52053063649112
77,183.073127513,15.1143448761892,0.0,19.897611851191858
77,188.151612086,15.164693735875803,0.0,43.09342247264971
77,193.420814316,14.743223048383575,0.0,33.742064514617695
79,198.46565952,15.66183439487922,0.0,32.34893971114038
77,203.563829183,15.10428248200149,0.0,36.24577442191356
77,208.659017177,15.113015155794606,0.0,38.609269010395764
77,213.748576601,15.129803888888869,0.0,41.324495355074234
77,218.830140122,15.164396832177195,0.0,44.191634617380835
77,223.940116504,15.069235320845877,0.0,48.65279693497035
77,229.00678563,15.198137048836083,0.0,53.06127561056031
77,234.100999422,15.11586946851031,0.0,55.38981845211024
77,239.191459227,15.127103925966729,0.0,58.95165961190077
82,244.269210839,16.149748624475293,0.0,37.98801151240074
102,249.340425129,20.114491643048034,0.0,39.69871854014704
93,254.405394802,18.362469851067985,0.0,43.17903905923916
77,259.499344212,15.116653047134871,0.0,45.3627579902287
77,264.582312312,15.150034490529169,0.0,48.11689611905796
77,269.671999525,15.129317917600005,0.0,49.90999900688559
77,274.759890641,15.134653622597474,0.0,52.343465522291176
77,279.855708653,15.111109896116819,0.0,55.42475863821138
77,284.939461987,15.147245142513365,0.0,64.53136774463314
77,290.031476216,15.123171809990426,0.0,66.50144758999559
77,295.114280177,15.149861199254008,0.0,69.93041734887835
77,300.20920499,15.113760487111838,0.0,72.24914199685891
