Frames Analyzed,Elapsed Time (s),FPS
69,5.041416706,13.695578453772754
77,10.132309211,15.257456589310141
76,15.151693834,15.142369492411241
76,20.176422502,15.125925697845837
76,25.19769428,15.136434811437907
76,30.222056513,15.127063531998875
76,35.242510246,15.138873057700117
76,40.267423415,15.125479045664253
76,45.288182302,15.138824835419904
76,50.312302153,15.127834285220622
76,55.336766888,15.126772534555563
76,60.357662755,15.137579741862071
76,65.382613885,15.125298883468586
76,70.403778404,15.138954373747412
76,75.429001108,15.125724991298704
76,80.44834998,15.142180803063276
76,85.472567116,15.127632567472418
76,90.493702698,15.136703823452535
76,95.518500926,15.12568440870957
76,100.540078597,15.135387680812283
76,105.563409857,15.130107298464623
76,110.584351379,15.137360403770254
76,115.608897781,15.126509375923918
76,120.630710094,15.13477712295109
76,125.654433969,15.128925909742177
76,130.675330066,15.13743270672963
76,135.699442873,15.12775763244483
76,140.71867068,15.145815877020754
64,148
