Frames Analyzed,Elapsed Time (s),FPS
68,5.001172264,13.59681823303956
76,10.024498801,15.130071102059047
76,15.048343466,15.128855766033954
76,20.069072292,15.138122714498394
76,25.094474949,15.124474719480506
76,30.114478564,15.140770070578709
76,35.139305231,15.1261021449481
76,40.159812974,15.13886956563799
76,45.184640347,15.125698629599484
76,50.205268387,15.138353970392945
76,55.229831727,15.126505326567376
76,60.250490897,15.138257979025708
76,65.275139828,15.126331435092917
76,70.295915977,15.138031336399703
76,75.320512482,15.127053900150594
76,80.342643321,15.133909852460468
76,85.366601309,15.128374402771241
76,90.390536962,15.128452425983532
76,95.412489314,15.134457977720135
76,100.436603257,15.127998066283553
76,105.456802674,15.139704687808855
76,110.480519336,15.129037762761055
76,115.504862285,15.127220566879116
76,120.527668187,15.131946823177083
76,125.54897332,15.140277500883075
58,131.503170151,9.82501019071655
80,136.517065417,15.961319561632811
68,142.105242783,12.170448919733682
80,147
